﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:45TmUqjmDrOjGNYSGFzQn1","Nature Of The Beast","My Darkest Days","Sick And Twisted Affair (Deluxe Edition)","1","5","180933","spotify:user:mrkaan888","2017-12-18T10:09:23Z"
"spotify:track:3dIJowXo28aV7cGjec0yI9","Bak Bana","Sena Sener","Bak Bana","1","1","231542","spotify:user:mrkaan888","2017-12-20T18:02:33Z"
"spotify:track:4Umwp65wHy4K1AMLGZ1S4T","Sevsem","Kahraman Deniz","Sevsem","1","1","172235","spotify:user:mrkaan888","2017-12-20T18:07:10Z"
"spotify:track:1XNI1U7ozbAvTQxG8jCng2","Benİ Yalniz Koma","Boom Pam, Melike Şahin","Benİ Yalniz Koma","1","1","218129","spotify:user:mrkaan888","2017-12-20T18:08:25Z"
"spotify:track:0BggbhHic0tTfyqhUFqoXO","I Will Come For You","Jack Dolgen","Maricopa","1","4","225133","spotify:user:mrkaan888","2017-12-22T06:51:51Z"
"spotify:track:1hkzQo4E2cxGHZEd706zje","İşte Geldik Gidiyoruz","Cem Karaca","Merhaba Gençler","1","2","367840","spotify:user:mrkaan888","2017-12-23T17:15:34Z"
"spotify:track:7aliOjqVEBd3ZZ8NMkuifd","Shake It Out","Florence + The Machine","Ceremonials","1","2","277637","spotify:user:mrkaan888","2017-12-23T22:23:59Z"
"spotify:track:7EmGUiUaOSGDnUUQUDrOXC","Wolves","Selena Gomez, Marshmello","Wolves","1","1","197993","spotify:user:mrkaan888","2017-12-24T16:40:06Z"
"spotify:track:3xtNRxaUY785OdDP78yrpG","Raf","Deeperise, Jabbar","Raf","1","1","247422","spotify:user:mrkaan888","2017-12-24T16:49:38Z"
"spotify:track:6z5Yh7kOKeLjqIsNdokIpU","A Thousand Years","Christina Perri","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)","1","6","285120","spotify:user:mrkaan888","2017-12-28T18:42:57Z"
"spotify:track:4IqcDJPzDL8Hq8KwAX4jUE","human","Christina Perri","head or heart","1","4","250706","spotify:user:mrkaan888","2017-12-28T18:43:01Z"
"spotify:track:0HZhYMZOcUzZKSFwPOti6m","Jar of Hearts","Christina Perri","lovestrong.","1","5","246587","spotify:user:mrkaan888","2017-12-28T18:43:06Z"
"spotify:track:6ljMElISnqdfktORI8IWo9","Panpa","Oguzhan Ugur","Çok Şükür","1","9","187691","spotify:user:mrkaan888","2018-01-02T18:40:50Z"
"spotify:track:1scW92EMbN5S36dAtqAilk","Dostum Dostum","Kurtalan Ekspres, Can Bora Genç, Murat ilkan","Göğe Selam, Vol. 2","1","6","237080","spotify:user:mrkaan888","2018-01-09T07:29:27Z"
"spotify:track:0ADgMC7XeRSJtMuexYVtwh","Dostum","Haluk Levent","Kral Çıplak","1","2","305653","spotify:user:mrkaan888","2018-01-09T07:32:52Z"
"spotify:track:7KIbDUwumrpG5f30kEYW1v","Pump It","The Black Eyed Peas","Monkey Business","1","1","213066","spotify:user:mrkaan888","2018-01-10T07:22:34Z"
"spotify:track:2WNVqZq1ujhMDlOAqBFkVv","My Humps","The Black Eyed Peas","Monkey Business","1","5","326960","spotify:user:mrkaan888","2018-01-10T07:22:43Z"
"spotify:track:3oDFtOhcN08qeDPAK6MEQG","Boom Boom Pow","The Black Eyed Peas","THE E.N.D. (THE ENERGY NEVER DIES) [International Deluxe Version]","1","1","251440","spotify:user:mrkaan888","2018-01-10T07:28:13Z"
"spotify:track:6eMQS4CDgOMEMQzhCU64ql","Di Aslında","Oguzhan Ugur","Çok Şükür","1","5","204998","spotify:user:mrkaan888","2018-01-12T22:17:52Z"
"spotify:track:2uOtsuPRc41n361g2G4Gml","Tın","Oguzhan Ugur","Çok Şükür","1","3","205769","spotify:user:mrkaan888","2018-01-12T22:43:46Z"
"spotify:track:6P58BYQD9HAGv8jVSGtXqT","Biyolojik Unsur","Oguzhan Ugur","Biyolojik Unsur","1","1","171555","spotify:user:mrkaan888","2018-01-12T22:51:29Z"
